위치,시설,규모,최대 수용인원,이동약자 접근성
"신주소: 서울특별시 광진구 강변역로 17 (구의동, 구의제3동 복합청사)
구주소: 서울특별시 광진구 구의동 587번지 29호","구의3동주민센터 지하주차장 1~2층
(공공시설)",132㎡,160명,정보 없음
"신주소: 서울특별시 광진구 강변역로 50 (구의동, 동서울터미널빌딩)
구주소: 서울특별시 광진구 구의동 546번지 1호","동서울터미널 지하주차장 2~3층
(공공시설)",2579㎡,3121명,정보 없음
"신주소: 서울특별시 광진구 강변역로4길 68 (구의동, 리젠트오피스텔)
구주소: 서울특별시 광진구 구의동 547번지 8호","리젠트오피스텔 지하주차장 1~4층
(공공시설)",2134㎡,2582명,정보 없음
"신주소: 서울특별시 광진구 광나루로 441 (능동, 육영재단어린이회관)
구주소: 서울특별시 광진구 능동 18번지 11호","어린이회관 지하 1층
(공공시설)",1891㎡,2288명,정보 없음
"신주소: 서울특별시 광진구 광나루로 545 (구의동, 래미안파크스위트)
구주소: 서울특별시 광진구 구의동 668번지","래미안파크스위트아파트 지하주차장 지하 1~2층
(공공시설)",46291㎡,56012명,정보 없음
"신주소: 서울특별시 광진구 광나루로36길 47 (구의동)
구주소: 서울특별시 광진구 구의동 238번지 1호","동국대사대부여중 지하1층
(공공시설)",720㎡,871명,정보 없음
"신주소: 서울특별시 광진구 광나루로36길 47 (구의동)
구주소: 서울특별시 광진구 구의동 238번지 1호","동국대사대부여고 지하1층
(공공시설)",771㎡,933명,정보 없음
"신주소: 서울특별시 광진구 광나루로36길 56 (구의동, 구의제1동주민센터)
구주소: 서울특별시 광진구 구의동 237번지 6호","구의1동 주민센터 주차장 지하1층
(공공시설)",682㎡,825명,정보 없음
"신주소: 서울특별시 광진구 광나루로56길 29 (구의동, 현대프라임아파트)
구주소: 서울특별시 광진구 구의동 631번지 1호","현대프라임아파트 지하주차장 1층
(공공시설)",8250㎡,9982명,정보 없음
"신주소: 서울특별시 광진구 광나루로56길 85 (구의동, 테크노마트)
구주소: 서울특별시 광진구 구의동 546번지 4호","테크노마트 지하주차장 1~5층
(공공시설)",45951㎡,55601명,정보 없음
"신주소: 서울특별시 광진구 광장로 52 (광장동, 광장동주민센터)
구주소: 서울특별시 광진구 광장동 248번지 24호","광장동주민센터 지하 1층
(공공시설)",88㎡,106명,정보 없음
"신주소: 서울특별시 광진구 구의강변로 42 (구의동, 구의동강변우성아파트)
구주소: 서울특별시 광진구 구의동 546번지 7호","강변우성아파트 지하주차장 1층
(공공시설)",1650㎡,1996명,정보 없음
