위치,시설,규모,최대 수용인원,이동약자 접근성
"신주소: 서울특별시 중구 남대문로 39 (남대문로3가, 한국은행건물)
구주소: 서울특별시 중구 남대문로3가 110번지","한국은행앞지하보도
(공공시설)",356㎡,431명,정보 없음
"신주소: 서울특별시 중구 남대문로 81 (소공동, 롯데백화점 본점)
구주소: 서울특별시 중구 소공동 1번지","롯데백화점 본점 지하주차장 2~7층
(공공시설)",39570㎡,47880명,정보 없음
"신주소: 서울특별시 중구 남대문로 지하 72 (남대문로2가, 명동지하쇼핑센터)
구주소: 서울특별시 중구 남대문로2가 9번지 9호","명동지하쇼핑센터
(공공시설)",1758㎡,2127명,정보 없음
"신주소: 서울특별시 중구 남대문로 지하14, 남대문로지하쇼핑센터 (남대문로3가)
구주소: 서울특별시 중구 남대문로3가 13-3 남대문로지하쇼핑센터","남대문로지하쇼핑센터
(공공시설)",3059㎡,3701명,정보 없음
"신주소: 서울특별시 중구 남대문시장8길 7(남창동)
구주소: 서울특별시 중구 남창동 5","삼익패션타운 지하2~4층
(공공시설)",4559㎡,5516명,정보 없음
"신주소: 서울특별시 중구 다산로 32 (신당동, 남산타운)
구주소: 서울특별시 중구 신당동 844번지","남산타운아파트2(임대동) 지하1층
(공공시설)",24454㎡,29589명,정보 없음
"신주소: 서울특별시 중구 다산로 32 (신당동, 남산타운)
구주소: 서울특별시 중구 신당동 844번지","남산타운아파트1 (분양동)지하1층
(공공시설)",71343㎡,86325명,정보 없음
"신주소: 서울특별시 중구 다산로 32 (신당동, 남산타운)
구주소: 서울특별시 중구 신당동 844번지","남산타운문화체육센터 지하1층
(공공시설)",438㎡,530명,정보 없음
"신주소: 서울특별시 중구 다산로 지하 115 (신당동, 약수역 6호선)
구주소: 서울특별시 중구 신당동 369번지 2호","6호선약수역지하철승강장
(공공시설)",10785㎡,13050명,정보 없음
"신주소: 서울특별시 중구 다산로 지하 260 (흥인동, 신당역 6호선)
구주소: 서울특별시 중구 흥인동 162번지 1호","6호선신당역지하철승강장
(공공시설)",19215㎡,23250명,정보 없음
"신주소: 서울특별시 중구 다산로 지하 38 (신당동, 버티고개역 6호선)
구주소: 서울특별시 중구 신당동 366번지 454호","6호선버티고개역지하철승강장
(공공시설)",6278㎡,7596명,정보 없음
"신주소: 서울특별시 중구 다산로 지하122, 약수역 3호선 (신당동)
구주소: 서울특별시 중구 신당동 369-44 약수역 3호선","3호선약수역지하철승강장
(공공시설)",1128㎡,1365명,정보 없음
"신주소: 서울특별시 중구 다산로36길 109 (신당동, 현대아파트)
구주소: 서울특별시 중구 신당동 840번지","신당현대아파트 관리동 지하 2층
(공공시설)",2594㎡,3139명,정보 없음
"신주소: 서울특별시 중구 다산로36길 110 (신당동, 신당푸르지오)
구주소: 서울특별시 중구 신당동 850번지","신당푸르지오아파트 지하주차장 1~3층
(공공시설)",25890㎡,31327명,정보 없음
"신주소: 서울특별시 중구 다산로42가길 43 (신당동, 삼성홈타운신당아파트)
구주소: 서울특별시 중구 신당동 849번지","삼성홈타운신당아파트 지하주차장 1층
(공공시설)",1911㎡,2312명,정보 없음
"신주소: 서울특별시 중구 다산로42나길 46 (신당동, 신당동 파라다이스 아파트)
구주소: 서울특별시 중구 신당동 846번지","신당동파라다이스아파트 지하주차장 1층
(공공시설)",1945㎡,2353명,정보 없음
"신주소: 서울특별시 중구 동호로 287 (장충동2가, 그랜드앰배서더서울)
구주소: 서울특별시 중구 장충동2가 186번지 54호","앰배서더호텔 지하1~2층
(공공시설)",3707㎡,4485명,정보 없음
"신주소: 서울특별시 중구 동호로 지하 256 (장충동2가, 동대입구역 3호선)
구주소: 서울특별시 중구 장충동2가 199번지 3호","3호선동대입구역지하철승강장
(공공시설)",8890㎡,10757명,정보 없음
"신주소: 서울특별시 중구 동호로 지하 384 (방산동, 청계5가지하쇼핑센터)
구주소: 서울특별시 중구 방산동 4번지 10호","청계5가지하쇼핑센터
(공공시설)",884㎡,1070명,정보 없음
"신주소: 서울특별시 중구 동호로10길 30 (신당동, 약수하이츠)
구주소: 서울특별시 중구 신당동 842번지","약수하이츠아파트 지하주차장
(공공시설)",47064㎡,56947명,정보 없음
"신주소: 서울특별시 중구 동호로5길 19 (신당동, 중구청소년수련관)
구주소: 서울특별시 중구 신당동 844번지 5호","중구청소년수련관 지하
(공공시설)",1208㎡,1462명,정보 없음
"신주소: 서울특별시 중구 마장로 40 (신당동, apM)
구주소: 서울특별시 중구 신당동 198번지 3호","에이피엠 지하2~3층
(공공시설)",2487㎡,3009명,정보 없음
"신주소: 서울특별시 중구 만리재로 193 (만리동1가, 서울역 디오빌)
구주소: 서울특별시 중구 만리동1가 62번지 7호","서울역디오빌 지하1~3층
(공공시설)",4150㎡,5022명,정보 없음
"신주소: 서울특별시 중구 삼일대로6길 5, 조양빌딩신관 (충무로2가)
구주소: 서울특별시 중구 충무로2가 49-31 조양빌딩신관","조양빌딩신관 지하1~2층
(공공시설)",2851㎡,3450명,정보 없음
"신주소: 서울특별시 중구 서소문로 117 (서소문동, 대한항공빌딩)
구주소: 서울특별시 중구 서소문동 41번지 3호","대한항공 지하1~4층
(공공시설)",5700㎡,6897명,정보 없음
"신주소: 서울특별시 중구 서소문로 지하 127 (서소문동, 시청역 2호선)
구주소: 서울특별시 중구 서소문동 90번지 1호","2호선시청역지하철승강장
(공공시설)",8322㎡,10070명,정보 없음
"신주소: 서울특별시 중구 세종대로 110 (태평로1가, 서울시청)
구주소: 서울특별시 중구 태평로1가 31번지","서울특별시청 지하1~4층
(공공시설)",2021㎡,2445명,정보 없음
"신주소: 서울특별시 중구 세종대로 124 (태평로1가, 프레스센터)
구주소: 서울특별시 중구 태평로1가 25번지","덕수궁앞지하보도
(공공시설)",448㎡,542명,정보 없음
"신주소: 서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소)
구주소: 서울특별시 중구 남대문로4가 45번지","대한상공회의소 지하3층
(공공시설)",5029㎡,6085명,정보 없음
"신주소: 서울특별시 중구 세종대로 50 (남대문로4가, 흥국생명빌딩)
구주소: 서울특별시 중구 남대문로4가 17번지 12호","남대문앞지하보도
(공공시설)",442㎡,535명,정보 없음
"신주소: 서울특별시 중구 세종대로 67 (태평로2가, 삼성본관빌딩)
구주소: 서울특별시 중구 태평로2가 250번지","삼성본관 지하2~3층
(공공시설)",8655㎡,10473명,정보 없음
"신주소: 서울특별시 중구 세종대로 지하 101 (정동, 시청역 1호선)
구주소: 서울특별시 중구 정동 5번지 5호","1호선시청역지하철승강장
(공공시설)",8616㎡,10425명,정보 없음
"신주소: 서울특별시 중구 세종대로 지하 2 (남대문로5가, 서울역 1호선)
구주소: 서울특별시 중구 남대문로5가 73번지 6호","1호선서울역지하철승강장
(공공시설)",9292㎡,11243명,정보 없음
"신주소: 서울특별시 중구 세종대로 지하2, 서울역 1호선 (남대문로5가)
구주소: 서울특별시 중구 남대문로5가 73-6 서울역 1호선","서울역앞지하보도
(공공시설)",1507㎡,1823명,정보 없음
"신주소: 서울특별시 중구 세종대로9길 42, 부영빌딩 (서소문동)
구주소: 서울특별시 중구 서소문동 120-23 부영빌딩","부영빌딩 지하3층
(공공시설)",1380㎡,1670명,정보 없음
"신주소: 서울특별시 중구 소공로 119 (태평로2가, 서울프라자호텔)
구주소: 서울특별시 중구 태평로2가 23번지","프라자호텔 지하2층
(공공시설)",1303㎡,1577명,정보 없음
"신주소: 서울특별시 중구 소공로 지하 102 (남대문로2가, 소공지하쇼핑센터)
구주소: 서울특별시 중구 남대문로2가 9번지 9호","소공지하쇼핑센터
(공공시설)",5655㎡,6843명,정보 없음
"신주소: 서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하쇼핑센터)
구주소: 서울특별시 중구 충무로1가 52번지 41호","회현지하쇼핑센터
(공공시설)",7678㎡,9290명,정보 없음
"신주소: 서울특별시 중구 소월로 10 (남대문로5가, 단암빌딩)
구주소: 서울특별시 중구 남대문로5가 120번지","단암타워빌딩 지하1~2층
(공공시설)",1650㎡,1996명,정보 없음
"신주소: 서울특별시 중구 소월로 3 (남창동, 롯데손해보험빌딩)
구주소: 서울특별시 중구 남창동 51번지 1호","남산입구지하보도
(공공시설)",620㎡,750명,정보 없음
"신주소: 서울특별시 중구 손기정로 101 (만리동2가, 손기정공원)
구주소: 서울특별시 중구 만리동2가 6번지 1호","손기정체육공원 지하주차장1~2층
(공공시설)",6776㎡,8199명,정보 없음
"신주소: 서울특별시 중구 수표로 67 (수표동, 외환은행)
구주소: 서울특별시 중구 수표동 47번지 6호","천수빌딩KEB하나은행 지하1층
(공공시설)",1772㎡,2144명,정보 없음
